Time,prey,predator
8.008008008008008716e+00,3.639935274015790423e+00,1.421506992225751631e+01
8.108108108108108780e+00,3.626794095586156175e+00,1.424168730926627369e+01
8.208208208208208845e+00,3.614114663614075074e+00,1.426735856150322590e+01
8.308308308308308909e+00,3.601879719314515782e+00,1.429211976690449859e+01
8.408408408408408974e+00,3.590072654800580132e+00,1.431600560678827527e+01
8.508508508508509038e+00,3.578677514885018951e+00,1.433904934848306389e+01
8.608608608608609103e+00,3.567678950281780725e+00,1.436128295028283830e+01
8.708708708708709167e+00,3.557062480506422375e+00,1.438273650832912409e+01
8.808808808808809232e+00,3.546813658714777606e+00,1.440344004910245523e+01
8.908908908908909297e+00,3.536919241966633543e+00,1.442342103554108057e+01
9.009009009009009361e+00,3.527366121681939415e+00,1.444270664723432063e+01
9.109109109109109426e+00,3.518141915975036671e+00,1.446132251627271259e+01
9.209209209209209490e+00,3.509234672253203069e+00,1.447929334472691387e+01
9.309309309309309555e+00,3.500632807622097609e+00,1.449664302697099849e+01
9.409409409409409619e+00,3.492325428209587024e+00,1.451339399778683514e+01
9.509509509509509684e+00,3.484301837352507647e+00,1.452956834958264309e+01
9.609609609609609748e+00,3.476551842457878738e+00,1.454518711261331632e+01
9.709709709709709813e+00,3.469065657276662051e+00,1.456027045215135907e+01
9.809809809809809877e+00,3.461833841150125934e+00,1.457483779794378442e+01
9.909909909909909942e+00,3.454847379034090338e+00,1.458890768746178601e+01
1.001001001001001001e+01,3.448097487510767056e+00,1.460249810100529899e+01
1.011011011011011007e+01,3.441575783520996801e+00,1.461562617718397838e+01
1.021021021021021014e+01,3.435274189292630620e+00,1.462830843080233478e+01
1.031031031031031020e+01,3.429184927754205692e+00,1.464056078952476270e+01
1.041041041041041026e+01,3.423300536964966057e+00,1.465239850491166607e+01
1.051051051051051033e+01,3.417613836440275055e+00,1.466383625350671593e+01
1.061061061061061039e+01,3.412117955772826949e+00,1.467488813205903320e+01
1.071071071071071223e+01,3.406806259496597100e+00,1.468556776164151323e+01
1.081081081081081230e+01,3.401672334718494728e+00,1.469588832441954906e+01
1.091091091091091236e+01,3.396710007001257914e+00,1.470586240389435773e+01
1.101101101101101243e+01,3.391913315976980758e+00,1.471550205122223431e+01
1.111111111111111249e+01,3.387276476690665117e+00,1.472481893950291720e+01
1.121121121121121256e+01,3.382793917310398690e+00,1.473382431117988567e+01
1.131131131131131262e+01,3.378460405830082891e+00,1.474252896097238796e+01
1.141141141141141269e+01,3.374270877956972114e+00,1.475094330536925114e+01
1.151151151151151275e+01,3.370220473463251487e+00,1.475907738880099274e+01
1.161161161161161282e+01,3.366304374352766082e+00,1.476694086761547808e+01
1.171171171171171288e+01,3.362517873785774380e+00,1.477454304555838682e+01
1.181181181181181294e+01,3.358856403796867340e+00,1.478189290063150096e+01
1.191191191191191301e+01,3.355315755762529051e+00,1.478899908499937688e+01
1.201201201201201307e+01,3.351892153067513647e+00,1.479586991909194538e+01
1.211211211211211314e+01,3.348581429699730272e+00,1.480251343794567376e+01
1.221221221221221320e+01,3.345379785681214191e+00,1.480893738445189456e+01
1.231231231231231327e+01,3.342283530531243496e+00,1.481514922466295481e+01
1.241241241241241333e+01,3.339289116831781534e+00,1.482115615785270712e+01
1.251251251251251340e+01,3.336393102015887902e+00,1.482696512690735346e+01
1.261261261261261346e+01,3.333592178888407087e+00,1.483258282812506401e+01
1.271271271271271353e+01,3.330883160680859323e+00,1.483801570388957103e+01
1.281281281281281359e+01,3.328262955738458651e+00,1.484327000191911594e+01
1.291291291291291365e+01,3.325728594086458045e+00,1.484835172423193939e+01
1.301301301301301372e+01,3.323277198940958854e+00,1.485326668232052860e+01
1.311311311311311378e+01,3.320905995029323154e+00,1.485802047989802510e+01
1.321321321321321385e+01,3.318612308189581306e+00,1.486261851488671937e+01
1.331331331331331391e+01,3.316393554937774546e+00,1.486706600166924908e+01
1.341341341341341398e+01,3.314247231229528801e+00,1.487136799317592661e+01
1.351351351351351404e+01,3.312170928335969933e+00,1.487552934809303729e+01
1.361361361361361411e+01,3.310162339202197046e+00,1.487955471794652773e+01
1.371371371371371417e+01,3.308219179055492010e+00,1.488344870749390481e+01
1.381381381381381424e+01,3.306339291493095356e+00,1.488721566039956379e+01
1.391391391391391430e+01,3.304520625800618561e+00,1.489085970505744250e+01
1.401401401401401436e+01,3.302761169411597919e+00,1.489438489492474815e+01
1.411411411411411443e+01,3.301058921886641961e+00,1.489779526277222033e+01
1.421421421421421449e+01,3.299412001004630390e+00,1.490109459949705872e+01
1.431431431431431456e+01,3.297818596576176819e+00,1.490428655042318695e+01
1.441441441441441462e+01,3.296276935581499146e+00,1.490737468813146371e+01
1.451451451451451469e+01,3.294785311045511200e+00,1.491036245213595279e+01
1.461461461461461475e+01,3.293342088691757041e+00,1.491325313498302840e+01
1.471471471471471482e+01,3.291945689356738036e+00,1.491604991621516874e+01
1.481481481481481488e+01,3.290594556975697582e+00,1.491875592021133379e+01
1.491491491491491495e+01,3.289287206557846233e+00,1.492137412950968312e+01
1.501501501501501679e+01,3.288022211300096753e+00,1.492390740808936300e+01
1.511511511511511685e+01,3.286798176353814771e+00,1.492635855584325810e+01
1.521521521521521692e+01,3.285613743312985502e+00,1.492873029914290406e+01
1.531531531531531698e+01,3.284467619433951935e+00,1.493102522941227406e+01
1.541541541541541704e+01,3.283358562346421650e+00,1.493324583526854354e+01
1.551551551551551711e+01,3.282285375429994101e+00,1.493539451358860859e+01
1.561561561561561717e+01,3.281246866481998037e+00,1.493747366843959590e+01
1.571571571571571724e+01,3.280241899508571812e+00,1.493948558711442942e+01
1.581581581581581730e+01,3.279269389115783806e+00,1.494143245355693495e+01
1.591591591591591737e+01,3.278328293437115626e+00,1.494331636529027030e+01
1.601601601601601743e+01,3.277417596461282390e+00,1.494513937057868525e+01
1.611611611611611750e+01,3.276536293442414483e+00,1.494690349910759508e+01
1.621621621621621756e+01,3.275683436763989320e+00,1.494861066553903406e+01
1.631631631631631763e+01,3.274858116831162125e+00,1.495026270969204774e+01
1.641641641641641769e+01,3.274059459679532047e+00,1.495186140028441457e+01
1.651651651651651775e+01,3.273286581255921313e+00,1.495340849929336535e+01
1.661661661661661782e+01,3.272538630541732108e+00,1.495490570124916729e+01
1.671671671671671788e+01,3.271814798948132985e+00,1.495635462000914728e+01
1.681681681681681795e+01,3.271114307648460340e+00,1.495775680659037299e+01
1.691691691691691801e+01,3.270436159060460479e+00,1.495911428820893718e+01
1.701701701701701808e+01,3.269780234409805697e+00,1.496042715998113515e+01
1.711711711711711814e+01,3.269145301631385170e+00,1.496169795647964840e+01
1.721721721721721821e+01,3.268530724666403486e+00,1.496292791072260009e+01
1.731731731731731827e+01,3.267935867631927671e+00,1.496411825578533517e+01
1.741741741741741833e+01,3.267360125490196054e+00,1.496527023477973373e+01
1.751751751751751840e+01,3.266802903954105108e+00,1.496638509431577191e+01
1.761761761761761846e+01,3.266263594221885835e+00,1.496746407628057973e+01
1.771771771771771853e+01,3.265741633289415802e+00,1.496850834225097948e+01
1.781781781781781859e+01,3.265236511213739590e+00,1.496951896075624511e+01
1.791791791791791866e+01,3.264747677488582411e+00,1.497049707145709263e+01
1.801801801801801872e+01,3.264274596198074363e+00,1.497144375738536581e+01
1.811811811811811879e+01,3.263816769493755654e+00,1.497235995564408739e+01
1.821821821821821885e+01,3.263373677925217820e+00,1.497324668614587040e+01
1.831831831831831892e+01,3.262943396220509662e+00,1.497410769042254586e+01
1.841841841841841898e+01,3.262529397188935310e+00,1.497493622883386699e+01
1.851851851851851904e+01,3.262127941214574722e+00,1.497573954350051650e+01
1.861861861861861911e+01,3.261739019098154557e+00,1.497651765999599149e+01
1.871871871871871917e+01,3.261362521948052429e+00,1.497727086876437674e+01
1.881881881881881924e+01,3.260998167999580755e+00,1.497799978603715765e+01
1.891891891891891930e+01,3.260645441645598108e+00,1.497870544914718138e+01
1.901901901901901937e+01,3.260304195034327890e+00,1.497938815294873471e+01
1.911911911911911943e+01,3.259973974500655292e+00,1.498004879986747717e+01
1.921921921921921950e+01,3.259654351178352449e+00,1.498068824253885190e+01
1.931931931931931956e+01,3.259344903290189777e+00,1.498130731969797935e+01
1.941941941941941963e+01,3.259045368314838154e+00,1.498190655780607194e+01
1.951951951951951969e+01,3.258755462311559103e+00,1.498248652532418568e+01
1.961961961961961975e+01,3.258474856071720271e+00,1.498304787947606442e+01
1.971971971971971982e+01,3.258203227526901280e+00,1.498359126387041762e+01
1.981981981981981988e+01,3.257940324953021438e+00,1.498411718798256409e+01
1.991991991991991995e+01,3.257685873421968026e+00,1.498462620553354085e+01
2.002002002002002001e+01,3.257439585356308509e+00,1.498511889436424838e+01
2.012012012012012008e+01,3.257201226374642822e+00,1.498559572349881464e+01
2.022022022022022014e+01,3.256970456270463110e+00,1.498605737843515406e+01
2.032032032032032021e+01,3.256747125122603670e+00,1.498650415542718406e+01
2.042042042042042027e+01,3.256530962876325930e+00,1.498693659647172005e+01
2.052052052052052034e+01,3.256321717883451594e+00,1.498735520536691546e+01
2.062062062062062040e+01,3.256119177611390469e+00,1.498776040420200850e+01
2.072072072072072046e+01,3.255923124762957865e+00,1.498815262555081773e+01
2.082082082082082053e+01,3.255733352928827262e+00,1.498853227958550427e+01
2.092092092092092059e+01,3.255549668211590308e+00,1.498889975066436442e+01
2.102102102102102066e+01,3.255371884855475351e+00,1.498925540644289711e+01
